"departure city","long. departure (decimal)","lat. departure (decimal)","departure country","arrival city","long. departure (decimal)","lat. departure (decimal)","arrival country","number of routes","distance"
"Kumejima",127.189,26.605,"Japan","Okinawa",128.076,26.326,"Japan",1,93
"Okayama",134.425,35.261,"Japan","Okinawa",128.076,26.326,"Japan",1,1163
"Okinawa",128.076,26.326,"Japan","Kumejima",127.189,26.605,"Japan",1,93
"Okinawa",128.076,26.326,"Japan","Okayama",134.425,35.261,"Japan",1,1163
"Okinawa",128.076,26.326,"Japan","Kanazawa",136.677,36.657,"Japan",1,1407
"Yonaguni Jima",123.629,24.778,"Japan","Ishigaki",124.311,24.574,"Japan",1,72
"Nagoya",137.342,35.43,"Japan","Ishigaki",124.311,24.574,"Japan",1,1737
"Miyako",125.491,25.304,"Japan","Tokyo",140.643,36.274,"Japan",1,1888
"Kanazawa",136.677,36.657,"Japan","Okinawa",128.076,26.326,"Japan",1,1407
"Osaka",135.406,34.724,"Japan","Ishigaki",124.311,24.574,"Japan",1,1554
"Ishigaki",124.311,24.574,"Japan","Yonaguni Jima",123.629,24.778,"Japan",1,72
"Tokyo",140.643,36.274,"Japan","Miyako",125.491,25.304,"Japan",1,1888
"Tokyo",140.643,36.274,"Japan","Ishigaki",124.311,24.574,"Japan",1,2030
"Hierro",-17.812,28.358,"Spain","Tenerife",-16.288,28.074,"Spain",1,152
"Hierro",-17.812,28.358,"Spain","Gran Canaria",-14.978,28.553,"Spain",1,277
"Tenerife",-16.288,28.074,"Spain","Hierro",-17.812,28.358,"Spain",1,152
"Marrakech",-7.394,32.011,"Morocco","Gran Canaria",-14.978,28.553,"Spain",1,823
"Gran Canaria",-14.978,28.553,"Spain","Hierro",-17.812,28.358,"Spain",1,277
"Gran Canaria",-14.978,28.553,"Spain","Marrakech",-7.394,32.011,"Morocco",1,823
"Shijiazhuang",115.162,38.467,"China","Ninbo",121.769,30.377,"China",1,1083
"Ninbo",121.769,30.377,"China","Shijiazhuang",115.162,38.467,"China",1,1083
"Newcastle",-1.487,55.062,"United Kingdom","Isle Of Man",-4.374,54.138,"Isle of Man",1,212
"Leeds",-1.435,54.443,"United Kingdom","Isle Of Man",-4.374,54.138,"Isle of Man",1,193
"Isle Of Man",-4.374,54.138,"Isle of Man","Newcastle",-1.487,55.062,"United Kingdom",1,212
"Isle Of Man",-4.374,54.138,"Isle of Man","Leeds",-1.435,54.443,"United Kingdom",1,193
"Isle Of Man",-4.374,54.138,"Isle of Man","Golouchestershire",-1.613,52.49,"United Kingdom",1,259
"Isle Of Man",-4.374,54.138,"Isle of Man","Blackpool",-2.382,54.286,"United Kingdom",1,130
"Isle Of Man",-4.374,54.138,"Isle of Man","Belfast",-5.694,55.095,"United Kingdom",1,136
"Golouchestershire",-1.613,52.49,"United Kingdom","Isle Of Man",-4.374,54.138,"Isle of Man",1,259
"Blackpool",-2.382,54.286,"United Kingdom","Isle Of Man",-4.374,54.138,"Isle of Man",1,130
"Belfast",-5.694,55.095,"United Kingdom","Isle Of Man",-4.374,54.138,"Isle of Man",1,136
"Mashhad",59,36,"Iran","Lahore",74.672,31.869,"Pakistan",1,1514
"Lahore",74.672,31.869,"Pakistan","Mashhad",59,36,"Iran",1,1514
"Cockburn Town",-74.207,24.105,"Bahamas","Fort Lauderdale",-79.588,26.12,"United States",1,586
"Tampa",-82.223,28.625,"United States","Atlantic City",-74.296,39.762,"United States",1,1435
"Toluca",-99.277,19.561,"Mexico","Fort Lauderdale",-79.588,26.12,"United States",1,2142
"Philipsburg",-62.515,18.068,"Netherlands Antilles","Fort Lauderdale",-79.588,26.12,"United States",1,1971
"St. Thomas",-64.956,18.562,"Virgin Islands","Fort Lauderdale",-79.588,26.12,"United States",1,1721
"Santiago",-70.342,19.676,"Dominican Republic","Fort Lauderdale",-79.588,26.12,"United States",1,1186
"San Jose",-83.682,10.656,"Costa Rica","Fort Lauderdale",-79.588,26.12,"United States",1,1772
"San Pedro Sula",-87.873,15.754,"Honduras","Fort Lauderdale",-79.588,26.12,"United States",1,1437
"San Salvador",-88.427,13.734,"El Salvador","Fort Lauderdale",-79.588,26.12,"United States",1,1657
"Fort Myers",-81.592,26.893,"United States","Atlantic City",-74.296,39.762,"United States",1,1581
"Panama City",-78.973,9.118,"Panama","Fort Lauderdale",-79.588,26.12,"United States",1,1891
"West Palm Beach",-79.493,27.138,"United States","Atlantic City",-74.296,39.762,"United States",1,1483
"Myrtle Beach",-78.881,34.132,"United States","New York",-73.632,41.066,"United States",1,898
"Myrtle Beach",-78.881,34.132,"United States","Fort Lauderdale",-79.588,26.12,"United States",1,893
"Myrtle Beach",-78.881,34.132,"United States","Boston",-70.342,42.607,"United States",1,1199
"Myrtle Beach",-78.881,34.132,"United States","Atlantic City",-74.296,39.762,"United States",1,746
"Managua",-85.614,12.235,"Nicaragua","Fort Lauderdale",-79.588,26.12,"United States",1,1667
"Rio Negro",-75.039,6.274,"Colombia","Fort Lauderdale",-79.588,26.12,"United States",1,2258
"Orlando",-80.849,28.715,"United States","Atlantic City",-74.296,39.762,"United States",1,1367
"Lima",-76.524,-11.37,"Peru","Fort Lauderdale",-79.588,26.12,"United States",1,4181
"New York",-73.632,41.066,"United States","Myrtle Beach",-78.881,34.132,"United States",1,898
"Latrobe",-79.008,40.459,"United States","Fort Lauderdale",-79.588,26.12,"United States",1,1595
"Niagara Falls",-78.911,43.178,"United States","Fort Lauderdale",-79.588,26.12,"United States",1,1897
"Guatemala City",-90.213,14.972,"Guatemala","Fort Lauderdale",-79.588,26.12,"United States",1,1659
"Fort Lauderdale",-79.588,26.12,"United States","Cockburn Town",-74.207,24.105,"Bahamas",1,586
"Fort Lauderdale",-79.588,26.12,"United States","Toluca",-99.277,19.561,"Mexico",1,2142
"Fort Lauderdale",-79.588,26.12,"United States","Philipsburg",-62.515,18.068,"Netherlands Antilles",1,1971
"Fort Lauderdale",-79.588,26.12,"United States","St. Thomas",-64.956,18.562,"Virgin Islands",1,1721
"Fort Lauderdale",-79.588,26.12,"United States","Santiago",-70.342,19.676,"Dominican Republic",1,1186
"Fort Lauderdale",-79.588,26.12,"United States","San Jose",-83.682,10.656,"Costa Rica",1,1772
"Fort Lauderdale",-79.588,26.12,"United States","San Pedro Sula",-87.873,15.754,"Honduras",1,1437
"Fort Lauderdale",-79.588,26.12,"United States","San Salvador",-88.427,13.734,"El Salvador",1,1657
"Fort Lauderdale",-79.588,26.12,"United States","Panama City",-78.973,9.118,"Panama",1,1891
"Fort Lauderdale",-79.588,26.12,"United States","Myrtle Beach",-78.881,34.132,"United States",1,893
"Fort Lauderdale",-79.588,26.12,"United States","Managua",-85.614,12.235,"Nicaragua",1,1667
"Fort Lauderdale",-79.588,26.12,"United States","Rio Negro",-75.039,6.274,"Colombia",1,2258
"Fort Lauderdale",-79.588,26.12,"United States","Lima",-76.524,-11.37,"Peru",1,4181
"Fort Lauderdale",-79.588,26.12,"United States","Latrobe",-79.008,40.459,"United States",1,1595
"Fort Lauderdale",-79.588,26.12,"United States","Niagara Falls",-78.911,43.178,"United States",1,1897
"Fort Lauderdale",-79.588,26.12,"United States","Guatemala City",-90.213,14.972,"Guatemala",1,1659
"Fort Lauderdale",-79.588,26.12,"United States","Cartagena",-75.189,10.737,"Colombia",1,1771
"Fort Lauderdale",-79.588,26.12,"United States","Charleston",-79.401,33.497,"United States",1,820
"Fort Lauderdale",-79.588,26.12,"United States","Aguadilla",-66.55,18.824,"Puerto Rico",1,1564
"Fort Lauderdale",-79.588,26.12,"United States","Armenia",-75.611,4.754,"Colombia",1,2413
"Fort Lauderdale",-79.588,26.12,"United States","Oranjestad",-69.359,12.835,"Aruba",1,1823
"Fort Lauderdale",-79.588,26.12,"United States","Atlantic City",-74.296,39.762,"United States",1,1594
"Cartagena",-75.189,10.737,"Colombia","Fort Lauderdale",-79.588,26.12,"United States",1,1771
"Charleston",-79.401,33.497,"United States","Fort Lauderdale",-79.588,26.12,"United States",1,820
"Aguadilla",-66.55,18.824,"Puerto Rico","Fort Lauderdale",-79.588,26.12,"United States",1,1564
"Boston",-70.342,42.607,"United States","Myrtle Beach",-78.881,34.132,"United States",1,1199
"Armenia",-75.611,4.754,"Colombia","Fort Lauderdale",-79.588,26.12,"United States",1,2413
"Oranjestad",-69.359,12.835,"Aruba","Fort Lauderdale",-79.588,26.12,"United States",1,1823
"Atlantic City",-74.296,39.762,"United States","Tampa",-82.223,28.625,"United States",1,1435
"Atlantic City",-74.296,39.762,"United States","Fort Myers",-81.592,26.893,"United States",1,1581
"Atlantic City",-74.296,39.762,"United States","West Palm Beach",-79.493,27.138,"United States",1,1483
"Atlantic City",-74.296,39.762,"United States","Myrtle Beach",-78.881,34.132,"United States",1,746
"Atlantic City",-74.296,39.762,"United States","Orlando",-80.849,28.715,"United States",1,1367
"Atlantic City",-74.296,39.762,"United States","Fort Lauderdale",-79.588,26.12,"United States",1,1594
"Porto Alegre",-50.62,-29.991,"Brazil","Erechim",-51.781,-27.437,"Brazil",1,305
"Joacaba",-51.169,-26.622,"Brazil","Florianopolis",-48.246,-27.451,"Brazil",1,303
"Guarapuava",-51.084,-24.973,"Brazil","Curitiba",-48.627,-25.215,"Brazil",1,248
"Florianopolis",-48.246,-27.451,"Brazil","Joacaba",-51.169,-26.622,"Brazil",1,303
"Florianopolis",-48.246,-27.451,"Brazil","Criciuma",-49.042,-28.544,"Brazil",1,144
"Curitiba",-48.627,-25.215,"Brazil","Chapeco",-52.428,-26.558,"Brazil",1,408
"Curitiba",-48.627,-25.215,"Brazil","Guarapuava",-51.084,-24.973,"Brazil",1,248
"Criciuma",-49.042,-28.544,"Brazil","Florianopolis",-48.246,-27.451,"Brazil",1,144
"Miho",133.393,35.82,"Japan","Tokyo",140.643,36.274,"Japan",1,653
"Wakkanai",142.334,45.673,"Japan","Tokyo",140.643,36.274,"Japan",1,1054
"Wakkanai",142.334,45.673,"Japan","Sapporo",142.153,43.292,"Japan",1,265
"Tottori",134.277,35.883,"Japan","Tokyo",140.643,36.274,"Japan",1,573
"Tsushima",129.55,34.474,"Japan","Fukuoka",130.751,33.976,"Japan",1,123
"Toyama",137.312,37.08,"Japan","Tokyo",140.643,36.274,"Japan",1,310
"Takamatsu",134.025,34.356,"Japan","Okinawa",128.076,26.326,"Japan",1,1059
"Shonai",140.312,39.353,"Japan","Tokyo",140.643,36.274,"Japan",1,343
"Nakashibetsu",145.6,43.962,"Japan","Tokyo",140.643,36.274,"Japan",1,952
"Nakashibetsu",145.6,43.962,"Japan","Sapporo",142.153,43.292,"Japan",1,287
"Sendai",141.528,38.232,"Japan","Okinawa",128.076,26.326,"Japan",1,1826
"Okinawa",128.076,26.326,"Japan","Takamatsu",134.025,34.356,"Japan",1,1059
"Okinawa",128.076,26.326,"Japan","Sendai",141.528,38.232,"Japan",1,1826
"Okinawa",128.076,26.326,"Japan","Nagasaki",130.522,33.528,"Japan",1,834
"Okinawa",128.076,26.326,"Japan","Matsuyama",133.166,34.378,"Japan",1,1019
"Okinawa",128.076,26.326,"Japan","Kagoshima",131.199,32.338,"Japan",1,733
"Okinawa",128.076,26.326,"Japan","Kumamoto",131.425,33.395,"Japan",1,849
"Okinawa",128.076,26.326,"Japan","Miyazaki",131.747,32.462,"Japan",1,769
"Okinawa",128.076,26.326,"Japan","Niigata",139.107,37.951,"Japan",1,1655
"Okinawa",128.076,26.326,"Japan","Hiroshima",133.532,34.726,"Japan",1,1069
"Okinawa",128.076,26.326,"Japan","Shizuoka",138.315,35.326,"Japan",1,1397
"Oshima",139.6,35.303,"Japan","Tokyo",140.643,36.274,"Japan",1,143
"Wajima",137.603,37.488,"Japan","Tokyo",140.643,36.274,"Japan",1,302
"Nagasaki",130.522,33.528,"Japan","Okinawa",128.076,26.326,"Japan",1,834
"Nagasaki",130.522,33.528,"Japan","Nagoya",137.342,35.43,"Japan",1,659
"Nagoya",137.342,35.43,"Japan","Nagasaki",130.522,33.528,"Japan",1,659
"Nagoya",137.342,35.43,"Japan","Matsuyama",133.166,34.378,"Japan",1,398
"Nagoya",137.342,35.43,"Japan","Memanbetsu",144.273,44.467,"Japan",1,1164
"Nagoya",137.342,35.43,"Japan","Kagoshima",131.199,32.338,"Japan",1,662
"Nagoya",137.342,35.43,"Japan","Miyazaki",131.747,32.462,"Japan",1,612
"Nagoya",137.342,35.43,"Japan","Hakodate",141.369,42.283,"Japan",1,837
"Nagoya",137.342,35.43,"Japan","Akita",140.364,40.025,"Japan",1,575
"Nagoya",137.342,35.43,"Japan","Asahikawa",142.745,44.118,"Japan",1,1070
"Matsuyama",133.166,34.378,"Japan","Okinawa",128.076,26.326,"Japan",1,1019
"Matsuyama",133.166,34.378,"Japan","Nagoya",137.342,35.43,"Japan",1,398
"Matsuyama",133.166,34.378,"Japan","Osaka",135.406,34.724,"Japan",1,208
"Memanbetsu",144.273,44.467,"Japan","Nagoya",137.342,35.43,"Japan",1,1164
"Monbetsu",143.673,44.506,"Japan","Sapporo",142.153,43.292,"Japan",1,181
"Kagoshima",131.199,32.338,"Japan","Okinawa",128.076,26.326,"Japan",1,733
"Kagoshima",131.199,32.338,"Japan","Nagoya",137.342,35.43,"Japan",1,662
"Kagoshima",131.199,32.338,"Japan","Osaka",135.406,34.724,"Japan",1,471
"Kumamoto",131.425,33.395,"Japan","Okinawa",128.076,26.326,"Japan",1,849
"Miyazaki",131.747,32.462,"Japan","Okinawa",128.076,26.326,"Japan",1,769
"Miyazaki",131.747,32.462,"Japan","Nagoya",137.342,35.43,"Japan",1,612
"Osaka",135.406,34.724,"Japan","Hakodate",141.369,42.283,"Japan",1,987
"Niigata",139.107,37.951,"Japan","Okinawa",128.076,26.326,"Japan",1,1655
"Kochi",134.115,33.91,"Japan","Osaka",135.406,34.724,"Japan",1,149
"Osaka",135.406,34.724,"Japan","Matsuyama",133.166,34.378,"Japan",1,208
"Osaka",135.406,34.724,"Japan","Kagoshima",131.199,32.338,"Japan",1,471
"Osaka",135.406,34.724,"Japan","Kochi",134.115,33.91,"Japan",1,149
"Saga",130.503,33.249,"Japan","Tokyo",140.643,36.274,"Japan",1,984
"Tokyo",140.643,36.274,"Japan","Miho",133.393,35.82,"Japan",1,653
"Tokyo",140.643,36.274,"Japan","Wakkanai",142.334,45.673,"Japan",1,1054
"Tokyo",140.643,36.274,"Japan","Tottori",134.277,35.883,"Japan",1,573
"Tokyo",140.643,36.274,"Japan","Toyama",137.312,37.08,"Japan",1,310
"Tokyo",140.643,36.274,"Japan","Shonai",140.312,39.353,"Japan",1,343
"Tokyo",140.643,36.274,"Japan","Nakashibetsu",145.6,43.962,"Japan",1,952
"Tokyo",140.643,36.274,"Japan","Oshima",139.6,35.303,"Japan",1,143
"Tokyo",140.643,36.274,"Japan","Wajima",137.603,37.488,"Japan",1,302
"Tokyo",140.643,36.274,"Japan","Saga",130.503,33.249,"Japan",1,984
"Tokyo",140.643,36.274,"Japan","Hachijojima",140.309,33.191,"Japan",1,344
"Hakodate",141.369,42.283,"Japan","Nagoya",137.342,35.43,"Japan",1,837
"Hakodate",141.369,42.283,"Japan","Osaka",135.406,34.724,"Japan",1,987
"Hakodate",141.369,42.283,"Japan","Sapporo",142.153,43.292,"Japan",1,129
"Hiroshima",133.532,34.726,"Japan","Okinawa",128.076,26.326,"Japan",1,1069
"Hachijojima",140.309,33.191,"Japan","Tokyo",140.643,36.274,"Japan",1,344
"Fukuoka",130.751,33.976,"Japan","Tsushima",129.55,34.474,"Japan",1,123
"Shizuoka",138.315,35.326,"Japan","Okinawa",128.076,26.326,"Japan",1,1397
"Sapporo",142.153,43.292,"Japan","Wakkanai",142.334,45.673,"Japan",1,265
"Sapporo",142.153,43.292,"Japan","Nakashibetsu",145.6,43.962,"Japan",1,287
"Sapporo",142.153,43.292,"Japan","Monbetsu",143.673,44.506,"Japan",1,181
"Sapporo",142.153,43.292,"Japan","Hakodate",141.369,42.283,"Japan",1,129
"Akita",140.364,40.025,"Japan","Nagoya",137.342,35.43,"Japan",1,575
"Asahikawa",142.745,44.118,"Japan","Nagoya",137.342,35.43,"Japan",1,1070
"Gaua Island",167.978,-13.697,"Vanuatu","Loh/Linua",167.063,-12.88,"Vanuatu",1,134
"Gaua Island",167.978,-13.697,"Vanuatu","Santo",167.366,-15.176,"Vanuatu",1,177
"Gaua Island",167.978,-13.697,"Vanuatu","Sola",167.895,-13.753,"Vanuatu",1,10
"Walaha",168.151,-15.02,"Vanuatu","Santo",167.366,-15.176,"Vanuatu",1,86
"Valesdir",168.295,-16.661,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,96
"Port-vila",168.532,-17.499,"Vanuatu","Valesdir",168.295,-16.661,"Vanuatu",1,96
"Port-vila",168.532,-17.499,"Vanuatu","Tongoa Island",168.918,-16.819,"Vanuatu",1,86
"Port-vila",168.532,-17.499,"Vanuatu","Tanna",169.373,-19.092,"Vanuatu",1,198
"Port-vila",168.532,-17.499,"Vanuatu","Santo",167.366,-15.176,"Vanuatu",1,286
"Port-vila",168.532,-17.499,"Vanuatu","Paama Island",168.428,-16.065,"Vanuatu",1,159
"Port-vila",168.532,-17.499,"Vanuatu","Norsup",167.668,-15.467,"Vanuatu",1,244
"Port-vila",168.532,-17.499,"Vanuatu","Lamap",168.371,-16.09,"Vanuatu",1,157
"Port-vila",168.532,-17.499,"Vanuatu","Lonorore",168.286,-15.776,"Vanuatu",1,193
"Port-vila",168.532,-17.499,"Vanuatu","Lamen Bay",168.265,-16.307,"Vanuatu",1,135
"Port-vila",168.532,-17.499,"Vanuatu","Ipota",169.513,-18.798,"Vanuatu",1,177
"Port-vila",168.532,-17.499,"Vanuatu","Sangafa",168.571,-16.484,"Vanuatu",1,112
"Port-vila",168.532,-17.499,"Vanuatu","Dillon's Bay",169.001,-18.616,"Vanuatu",1,133
"Port-vila",168.532,-17.499,"Vanuatu","Craig Cove",168.54,-15.775,"Vanuatu",1,191
"Ambryn Island",168.471,-15.889,"Vanuatu","Paama Island",168.428,-16.065,"Vanuatu",1,20
"Ambryn Island",168.471,-15.889,"Vanuatu","Craig Cove",168.54,-15.775,"Vanuatu",1,14
"Loh/Linua",167.063,-12.88,"Vanuatu","Sola",167.895,-13.753,"Vanuatu",1,132
"Loh/Linua",167.063,-12.88,"Vanuatu","Ablow",168.186,-13.444,"Vanuatu",1,136
"Tongoa Island",168.918,-16.819,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,86
"Tanna",169.373,-19.092,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,198
"Tanna",169.373,-19.092,"Vanuatu","Ipota",169.513,-18.798,"Vanuatu",1,35
"Tanna",169.373,-19.092,"Vanuatu","Futuna Island",170.386,-19.194,"Vanuatu",1,107
"Tanna",169.373,-19.092,"Vanuatu","Aniwa",170.008,-18.734,"Vanuatu",1,77
"Tanna",169.373,-19.092,"Vanuatu","Anelghowhat",170.285,-19.749,"Vanuatu",1,120
"Pentecost Island",168.253,-15.118,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,266
"Pentecost Island",168.253,-15.118,"Vanuatu","Santo",167.366,-15.176,"Vanuatu",1,95
"Pentecost Island",168.253,-15.118,"Vanuatu","Lonorore",168.286,-15.776,"Vanuatu",1,73
"Santo",167.366,-15.176,"Vanuatu","Gaua Island",167.978,-13.697,"Vanuatu",1,177
"Santo",167.366,-15.176,"Vanuatu","Walaha",168.151,-15.02,"Vanuatu",1,86
"Santo",167.366,-15.176,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,286
"Santo",167.366,-15.176,"Vanuatu","Pentecost Island",168.253,-15.118,"Vanuatu",1,95
"Santo",167.366,-15.176,"Vanuatu","Sola",167.895,-13.753,"Vanuatu",1,168
"Santo",167.366,-15.176,"Vanuatu","Norsup",167.668,-15.467,"Vanuatu",1,45
"Santo",167.366,-15.176,"Vanuatu","Ablow",168.186,-13.444,"Vanuatu",1,211
"Santo",167.366,-15.176,"Vanuatu","Longana",168.611,-14.845,"Vanuatu",1,138
"Santo",167.366,-15.176,"Vanuatu","Lonorore",168.286,-15.776,"Vanuatu",1,119
"Santo",167.366,-15.176,"Vanuatu","Craig Cove",168.54,-15.775,"Vanuatu",1,142
"Sola",167.895,-13.753,"Vanuatu","Santo",167.366,-15.176,"Vanuatu",1,168
"Sola",167.895,-13.753,"Vanuatu","Ablow",168.186,-13.444,"Vanuatu",1,46
"Paama Island",168.428,-16.065,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,159
"Paama Island",168.428,-16.065,"Vanuatu","Ambryn Island",168.471,-15.889,"Vanuatu",1,20
"Norsup",167.668,-15.467,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,244
"Norsup",167.668,-15.467,"Vanuatu","Santo",167.366,-15.176,"Vanuatu",1,45
"Norsup",167.668,-15.467,"Vanuatu","Lamap",168.371,-16.09,"Vanuatu",1,102
"Norsup",167.668,-15.467,"Vanuatu","Craig Cove",168.54,-15.775,"Vanuatu",1,99
"Maewo Island",168.138,-15,"Vanuatu","Santo",167.366,-15.176,"Vanuatu",1,85
"Ablow",168.186,-13.444,"Vanuatu","Gaua Island",167.978,-13.697,"Vanuatu",1,36
"Ablow",168.186,-13.444,"Vanuatu","Loh/Linua",167.063,-12.88,"Vanuatu",1,136
"Ablow",168.186,-13.444,"Vanuatu","Sola",167.895,-13.753,"Vanuatu",1,46
"Lamap",168.371,-16.09,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,157
"Lamap",168.371,-16.09,"Vanuatu","Norsup",167.668,-15.467,"Vanuatu",1,102
"Longana",168.611,-14.845,"Vanuatu","Santo",167.366,-15.176,"Vanuatu",1,138
"Longana",168.611,-14.845,"Vanuatu","Lonorore",168.286,-15.776,"Vanuatu",1,109
"Lonorore",168.286,-15.776,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,193
"Lonorore",168.286,-15.776,"Vanuatu","Santo",167.366,-15.176,"Vanuatu",1,119
"Lonorore",168.286,-15.776,"Vanuatu","Longana",168.611,-14.845,"Vanuatu",1,109
"Lamen Bay",168.265,-16.307,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,135
"Lamen Bay",168.265,-16.307,"Vanuatu","Craig Cove",168.54,-15.775,"Vanuatu",1,66
"Ipota",169.513,-18.798,"Vanuatu","Tanna",169.373,-19.092,"Vanuatu",1,35
"Ipota",169.513,-18.798,"Vanuatu","Dillon's Bay",169.001,-18.616,"Vanuatu",1,57
"Futuna Island",170.386,-19.194,"Vanuatu","Tanna",169.373,-19.092,"Vanuatu",1,107
"Sangafa",168.571,-16.484,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,112
"Dillon's Bay",169.001,-18.616,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,133
"Dillon's Bay",169.001,-18.616,"Vanuatu","Ipota",169.513,-18.798,"Vanuatu",1,57
"Craig Cove",168.54,-15.775,"Vanuatu","Port-vila",168.532,-17.499,"Vanuatu",1,191
"Craig Cove",168.54,-15.775,"Vanuatu","Ambryn Island",168.471,-15.889,"Vanuatu",1,14
"Craig Cove",168.54,-15.775,"Vanuatu","Norsup",167.668,-15.467,"Vanuatu",1,99
"Aniwa",170.008,-18.734,"Vanuatu","Tanna",169.373,-19.092,"Vanuatu",1,77
"Anelghowhat",170.285,-19.749,"Vanuatu","Tanna",169.373,-19.092,"Vanuatu",1,120
"Zhaotong",104.258,27.542,"China","Kunming",103.239,25.653,"China",1,233
"Yushu",97.208,33.375,"China","Xining",102.071,36.879,"China",1,589
"Yancheng",120.208,33.642,"China","Shanghai",122.342,31.238,"China",1,333
"Yancheng",120.208,33.642,"China","Seoul",126.75,37.781,"South Korea",1,748
"Yancheng",120.208,33.642,"China","Hong Kong",114.524,22.514,"Hong Kong",1,1356
"Yancheng",120.208,33.642,"China","Changcha",113.366,28.315,"China",1,880
"Yantai",121.619,37.669,"China","Busan",129.563,35.299,"South Korea",1,757
"Yantai",121.619,37.669,"China","Harbin",126.417,46.039,"China",1,1011
"Yuncheng",111.655,35.03,"China","Wuhan",114.346,31.306,"China",1,483
"Yuncheng",111.655,35.03,"China","Nanjing",119.436,32.236,"China",1,784
"Yibin",104.907,29.333,"China","Shanghai",122.342,31.238,"China",1,1685
"Yibin",104.907,29.333,"China","Kunming",103.239,25.653,"China",1,441
"Xining",102.071,36.879,"China","Yushu",97.208,33.375,"China",1,589
"Xining",102.071,36.879,"China","Shanghai",122.342,31.238,"China",1,1965
"Xining",102.071,36.879,"China","Golmud",99.445,35.055,"China",1,311
"Xining",102.071,36.879,"China","Zhengzhou",114.401,34.866,"China",1,1132
"Xiamen",118.212,24.906,"China","Liuzhou",109.651,24.345,"China",1,867
"Xiamen",118.212,24.906,"China","Huai An",119.246,34.295,"China",1,1048
"Xi'an",109.252,34.745,"China","Wuxi",120.715,31.824,"China",1,1113
"Xi'an",109.252,34.745,"China","Wenzhou",121.42,28.52,"China",1,1342
"Xi'an",109.252,34.745,"China","Lhasa",91.519,29.496,"China",1,1766
"Xi'an",109.252,34.745,"China","Phuket",98.528,8.188,"Thailand",1,3149
"Xi'an",109.252,34.745,"China","Hong Kong",114.524,22.514,"Hong Kong",1,1453
"Xi'an",109.252,34.745,"China","Huai An",119.246,34.295,"China",1,916
"Xi'an",109.252,34.745,"China","Golmud",99.445,35.055,"China",1,894
"Xiangfan",112.485,32.251,"China","Wuhan",114.346,31.306,"China",1,204
"Wanxian",108.676,31.393,"China","Nanjing",119.436,32.236,"China",1,1020
"Wuxi",120.715,31.824,"China","Xi'an",109.252,34.745,"China",1,1113
"Wuxi",120.715,31.824,"China","Hong Kong",114.524,22.514,"Hong Kong",1,1202
"Wuxi",120.715,31.824,"China","Changcha",113.366,28.315,"China",1,807
"Wuyishan",118.001,28.169,"China","Shanghai",122.342,31.238,"China",1,540
"Wuhan",114.346,31.306,"China","Yuncheng",111.655,35.03,"China",1,483
"Wuhan",114.346,31.306,"China","Xiangfan",112.485,32.251,"China",1,204
"Wuhan",114.346,31.306,"China","Shijiazhuang",115.162,38.467,"China",1,799
"Wuhan",114.346,31.306,"China","Liuzhou",109.651,24.345,"China",1,900
"Wuhan",114.346,31.306,"China","Lianyungang",119.416,34.916,"China",1,619
"Wuhan",114.346,31.306,"China","Huai An",119.246,34.295,"China",1,565
"Wuhan",114.346,31.306,"China","Dongsheng",110.055,40.416,"China",1,1083
"Wuhan",114.346,31.306,"China","Beihai",109.49,21.899,"China",1,1151
"Wenzhou",121.42,28.52,"China","Xi'an",109.252,34.745,"China",1,1342
"Wenzhou",121.42,28.52,"China","Nanjing",119.436,32.236,"China",1,454
"Wenzhou",121.42,28.52,"China","Lianyungang",119.416,34.916,"China",1,735
"Wenzhou",121.42,28.52,"China","Hong Kong",114.524,22.514,"Hong Kong",1,961
"Wenzhou",121.42,28.52,"China","Huai An",119.246,34.295,"China",1,674
"Wenshan",104.405,23.626,"China","Kunming",103.239,25.653,"China",1,254
"Weihai",122.381,37.311,"China","Shenyang",123.483,41.637,"China",1,490
"Weihai",122.381,37.311,"China","Shanghai",122.342,31.238,"China",1,675
"Weihai",122.381,37.311,"China","Nanjing",119.436,32.236,"China",1,625
"Weihai",122.381,37.311,"China","Luoyang",112.466,34.683,"China",1,938
"Vientiane",102.938,18.647,"Laos","Nanning",108.287,23.013,"China",1,737
"Urumqi",87.79,44.511,"China","Hefei",117.497,32.3,"China",1,2900
"Taiyuan",113.047,38.244,"China","Hong Kong",114.524,22.514,"Hong Kong",1,1754
"Taiyuan",113.047,38.244,"China","Changzhi",113.21,36.412,"China",1,204
"Huangshan",118.426,30.222,"China","Hefei",117.497,32.3,"China",1,247
"Tianjin",117.576,39.207,"China","Chifeng",119.513,42.391,"China",1,389
